"","correctedCR","CR"
"55","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"56","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC KIM AY CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"57","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017"
"58","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M AVERETT M ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"59","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD AGARWAL M ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017"
"60","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANN REV STAT APPL 4 PP 15-30 2017"
"61","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT APPL 4 1 PP 15-30 2017"
"62","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT ITS APPL 4 1 PP 15-30 2017"
"63","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RD ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STATIST APPL 4 1 PP 15-30 2017"
"64","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE VEAUX RICHARD D AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT APPL 4 1 PP 15-30 2017"
"65","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","DE-VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"66","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","VEAUX DE RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNU REV STAT APPL 4 PP 15-30 2017"
"67","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","VEAUX DE RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"68","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","VEAUX RD AGARWAL M AVERETT M BAUMER B BRAY A BRESSOUD T NOLAN D CHENG L FRANCIS A GOULD R KIM A KRETCHMAR M LU Q MOSKOL A PELAYO R RALEIGH S SETHI R SONDJAJA M TIRUVILUAMALA N UHLIG P WASHINGTON T WESLEY C WHITE D YE P CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICA-TION 4 1 PP 15-30 2017"
"69","DE VEAUX RD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R KIM AY KRETCHMAR M LU Q MOSKOL A NOLAN D PELAYO R RALEIGH S SETHI RJ SONDJAJA M TIRUVILUAMALA N ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 1 PP 15-30 2017","VEAUX RDD AGARWAL M AVERETT M BAUMER BS BRAY A BRESSOUD TC BRYANT L CHENG LZ FRANCIS A GOULD R ET AL CURRICULUM GUIDELINES FOR UNDERGRADUATE PROGRAMS IN DATA SCIENCE ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION 4 PP 15-30 2017"
"70","MIKE K DATA SCIENCE EDUCATION CURRICULUM AND PEDAGOGY ICER 2020 - PROCEEDINGS OF THE 2020 ACM CONFERENCE ON INTERNATIONAL COMPUTING EDUCATION RESEARCH PP 324-325 2020","MIKE K DATA SCIENCE EDUCATION CURRICULUM AND PEDAGOGY PROCEEDINGS OF THE 2020 ACM CONFERENCE ON INTERNATIONAL COMPUTING EDUCATION RESEARCH PP 324-325 2020"
"71","MIKE K HARTAL G HAZZAN O WIDENING THE SHRINKING PIPELINE THE CASE OF DATA SCIENCE 2021 IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE EDUCON PP 252-261 2021","MIKE K HARTAL G HAZZAN O WIDENING THE SHRINKING PIPELINE THE CASE OF DATA SCIENCE IEEE GLOBAL ENGINEERING EDUCATION CONFERENCE EDUCON 2021 PP 252-261 2021"
"72","PIMENTEL DR HORTON NJ WILKERSON MH TOOLS TO SUPPORT DATA ANALYSIS AND DATA SCIENCE IN K-12 EDUCATION 2022","PIMENTEL DR TOOLS TO SUPPORT DATA ANALYSIS AND DATA SCIENCE IN K-12 EDUCATION 2022"
"74","SANGSAWANG T AN INSTRUCTIONAL DESIGN FOR ONLINE LEARNING IN VOCATIONAL EDUCATION ACCORDING TO A SELF-REGULATED LEARNING FRAMEWORK FOR PROBLEM SOLVING DURING THE COVID-19 CRISIS INDONESIAN JOURNAL OF SCIENCE AND TECHNOLOGY 5 2 PP 283-298 2020","SANGSAWANG T INSTRUCTIONAL DESIGN FRAMEWORK FOR EDUCATIONAL MEDIA PROCEDIA-SOCIAL AND BEHAVIORAL SCIENCES 176 PP 65-80 2015"
"75","SCHON DA EDUCATING THE REFLECTIVE PRACTITIONER TOWARD A NEW DESIGN FOR TEACHING AND LEARNING IN THE PROFESSIONS 1987","SCHON DA THE REFLECTIVE PRACTITIONER 1983"
"76","TARTARO A CHOSED RJ COMPUTER SCIENTISTS AT THE BIOLOGY LAB BENCH PROCEEDINGS OF THE 46TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 120-125 2015","TARTARO A CHOSED RJ COMPUTER SCIENTISTS AT THE BIOLOGY LAB BENCH IN PROCEEDINGS OF THE 46TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 120-125 2015"
"79","WANG L TWINNING DATA SCIENCE WITH INFORMATION SCIENCE IN SCHOOLS OF LIBRARY AND INFORMATION SCIENCE JOURNAL OF DOCUMENTATION 74 6 PP 1243-1257 2018","WANG K TWINNING DATA SCIENCE WITH INFORMATION SCIENCE IN SCHOOLS OF LIBRARY AND INFORMATION SCIENCE JOURNAL OF DOCUMENTATION 74 6 PP 1243-1257 2018"
"80","AASHEIM CL WILLIAMS S RUTNER P ET AL DATA ANALYTICS VS DATA SCIENCE A STUDY OF SIMILARITIES AND DIFFERENCES IN UNDERGRADUATE PROGRAMS BASED ON COURSE DESCRIPTIONS JOURNAL OF INFORMATION SYSTEMS EDUCATION 26 2 PP 103-115 2015","AASHEIM CL WILLIAMS S RUTNER P GARDINER A DATA ANALYTICS VS DATA SCIENCE A STUDY OF SIMILARITIES AND DIFFERENCES IN UNDERGRADUATE PROGRAMS BASED ON COURSE DESCRIPTIONS JOURNAL OF INFORMATION SYSTEMS EDUCATION 26 2 2015"
"81","AASHEIM CL WILLIAMS S RUTNER P ET AL DATA ANALYTICS VS DATA SCIENCE A STUDY OF SIMILARITIES AND DIFFERENCES IN UNDERGRADUATE PROGRAMS BASED ON COURSE DESCRIPTIONS JOURNAL OF INFORMATION SYSTEMS EDUCATION 26 2 PP 103-115 2015","AASHEIM CL WILLIAMS S RUTNER P GARDINER A DATA ANALYTICS VS DATA SCIENCE A STUDY OF SIMILARITIES AND DIFFERENCES IN UNDERGRADUATE PROGRAMS BASED ON COURSE DESCRIPTIONS JOURNAL OF INFORMATION SYSTEMS EDUCATION 26 PP 103-115 2015"
"82","ABDULLAH S 2007 J OPER RES SOC V58 P1494 DOI 101057/PALGRAVEJORS2602258","ABDULLAH S 2007 OR SPECTRUM V29 P351 DOI 101007/S00291-006-0034-7"
"83","ADAMS JC CREATING A BALANCED DATA SCIENCE PROGRAM IN PROCEEDINGS OF THE 51ST ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 185-191 2020","ADAMS J C CREATING A BALANCED DATA SCIENCE PROGRAM PROCEEDINGS OF THE 51ST ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 185-191 2020"
"85","ALVARGONZA D MULTIDISCIPLINARITY INTERDISCIPLINARITY TRANSDISCIPLINARITY AND THE SCIENCES INTERNATIONAL STUDIES IN THE PHILOSOPHY SCIENCE 25 4 PP 387-403 2011","ALVARGONZA D MULTIDISCIPLINARITY INTERDISCIPLINARITY TRANSDISCIPLINARITY AND THE SCIENCES INT STUD PHILOS SCI 25 4 PP 387-403 2011"
"86","ANDERSON N LANKSHEAR C TIMMS C COURTNEY L BECAUSE ITS BORING IRRELEVANT AND I DONT LIKE COMPUTERS WHY HIGH SCHOOL GIRLS AVOID PROFESSIONALLY-ORIENTED ICT SUBJECTS COMPUTERS & EDUCATION 50 PP 1304-1318 2008","ANDERSON N LANKSHEAR C TIMMS C COURTNEY L BECAUSE ITS BORING IRRELEVANT AND I DONT LIKE COMPUTERS WHY HIGH SCHOOL GIRLS AVOID PROFESSIONALLY-ORIENTED ICT SUBJECTS COMPUTERS & EDUCATION 50 4 PP 1304-1318 2008"
"87","ANDERSON P BOWRING J MCCAULEY R POTHERING G STARR C AN UNDERGRADUATE DEGREE IN DATA SCIENCE PP 145-150 2014","ANDERSON P BOWRING J MCCAULEY R POTHERING G STARR C"
"","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013","DHAR V DATA SCIENCE AND PREDICTIONJ COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013"
"","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013","DHAR V DATA SCIENCE AND PREDICTION CACM 56 PP 64-73 2013"
"","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013","DHAR V DATA SCIENCE AND PREDICTION COMMUN ACM 56 12 PP 64-73 2013"
"","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013","DHAR V 2013 COMMUN ACM V56 P64 DOI 101145/2500499"
"","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 12 PP 64-73 2013","DHAR V DATA SCIENCE AND PREDICTION COMMUNICATIONS OF THE ACM 56 PP 64-73 2013"
"91","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 3 PP 269-290 2016"," TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 3 PP 269-290 2016"
"92","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 3 PP 269-290 2016","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 PP 269-290 2016"
"93","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 3 PP 269-290 2016","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS JOURNAL OF EDUCATION FOR INFORMATION 32 3 PP 269-290 2016"
"94","TANG R SAE-LIM W DATA SCIENCE PROGRAMS IN US HIGHER EDUCATION AN EXPLORATORY CONTENT ANALYSIS OF PROGRAM DESCRIPTION CURRICULUM STRUCTURE AND COURSE FOCUS EDUCATION FOR INFORMATION 32 3 PP 269-290 2016","TANG R 2016 EDUC INFORM V32 P269 DOI 103233/EFI-160977"
"95","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L ENGEL J TEACHING DATA SCIENCE TO SECONDARY STUDENTS THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROMOTING UNDERSTANDING OF STATISTICS ABOUT SOCIETY PROCEEDINGS OF THE ROUNDTABLE CONFERENCE OF THE INTERNATIONAL ASSOCIATION OF STATISTICS EDUCATION IASE 2016","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L TEACHING DATA SCIENCE TO SECONDARY STUDENTS-THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROMOTING UNDERSTANDING OF STATISTICS ABOUT SOCIETY PROCEEDINGS OF THE IASE ROUNDTABLE CONFERENCE 2016"
"96","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L ENGEL J TEACHING DATA SCIENCE TO SECONDARY STUDENTS THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROMOTING UNDERSTANDING OF STATISTICS ABOUT SOCIETY PROCEEDINGS OF THE ROUNDTABLE CONFERENCE OF THE INTERNATIONAL ASSOCIATION OF STATISTICS EDUCATION IASE 2016","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L TEACHING DATA SCIENCE TO SECONDARY STUDENTS THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROCEEDINGS OF THE ROUNDTABLE CONFERENCE OF THE INTERNATIONAL ASSOCIATION OF STATISTICS EDUCATION 2016"
"97","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L ENGEL J TEACHING DATA SCIENCE TO SECONDARY STUDENTS THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROMOTING UNDERSTANDING OF STATISTICS ABOUT SOCIETY PROCEEDINGS OF THE ROUNDTABLE CONFERENCE OF THE INTERNATIONAL ASSOCIATION OF STATISTICS EDUCATION IASE 2016","GOULD R MACHADO S ONG C JOHNSON T MOLYNEUX J NOLEN S TANGMUNARUNKIT H TRUSELA L ZANONTIAN L TEACHING DATA SCIENCE TO SECONDARY STUDENTS THE MOBILIZE INTRODUCTION TO DATA SCIENCE CURRICULUM PROMOTING UNDERSTANDING OF STATISTICS ABOUT SOCIETY PROCEEDINGS OF THE ROUNDTABLE CONFERENCE OF THE INTERNATIONAL ASSOCIATION OF STATISTICS EDUCATION IASE 2016"
"98","DILL-MCFARLAND K A KONIG S G MAZEL F OLIVER D C MCEWEN L M HONG K Y HALLAM S J AN INTEGRATED MODULAR APPROACH TO DATA SCIENCE EDUCATION IN MICROBIOLOGY PLOS COMPUTATIONAL BIOLOGY 17 2 2021","DILL-MCFARLAND KA KONIG SG MAZEL F OLIVER DC MCEWEN LM HONG KY HALLAM SJ AN INTEGRATED MODULAR APPROACH TO DATA SCIENCE EDUCATION IN MICROBIOLOGY PLOS COMPUTATIONAL BIOLOGY 17 2 2021"
"99","DONOGHUE T VOYTEK B ELLIS SE TEACHING CREATIVE AND PRACTICAL DATA SCIENCE AT SCALE JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION 29 PP S27-S39 2021","DONOGHUE T VOYTEK B ELLIS S E TEACHING CREATIVE AND PRACTICAL DATA SCIENCE AT SCALE JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION 29 PP S27-S39 2021"
"100","DONOGHUE T VOYTEK B ELLIS SE TEACHING CREATIVE AND PRACTICAL DATA SCIENCE AT SCALE JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION 29 PP S27-S39 2021","DONOGHUE T VOYTEK B ELLIS S E TEACHING CREATIVE AND PRACTICAL DATA SCIENCE AT SCALE JOURNAL OF STATISTICS AND DATA SCIENCE EDUCATION 29 SUP1 PP S27-S39 2021"
"101","FARAHI A STROUD J C THE MICHIGAN DATA SCIENCE TEAM A DATA SCIENCE EDUCATION PROGRAM WITH SIGNIFICANT SOCIAL IMPACT 2018 IEEE DATA SCIENCE WORKSHOP DSW PP 120-124 2018","FARAHI A STROUD JC THE MICHIGAN DATA SCIENCE TEAM A DATA SCIENCE EDUCATION PROGRAM WITH SIGNIFICANT SOCIAL IMPACT 2018 IEEE DATA SCIENCE WORKSHOP DSW PP 120-124 IEEE 2018"
"102","FARAHI A STROUD J C THE MICHIGAN DATA SCIENCE TEAM A DATA SCIENCE EDUCATION PROGRAM WITH SIGNIFICANT SOCIAL IMPACT 2018 IEEE DATA SCIENCE WORKSHOP DSW PP 120-124 2018","FARAHI A STROUD JC THE MICHIGAN DATA SCIENCE TEAM A DATA SCIENCE EDUCATION PROGRAM WITH SIGNIFICANT SOCIAL IMPACT 2018 IEEE DATA SCIENCE WORKSHOP DSW PP 120-124 2018"
"103","GAL I ADULTS STATISTICAL LITERACY MEANINGS COMPONENTS RESPONSIBILITIES INTERNATIONAL STATISTICAL REVIEW 70 1 PP 1-25 2002","GAL I ADULT STATISTICAL LITERACY MEANINGS COMPONENTS RESPONSIBILITIES INTERNATIONAL STATISTICAL REVIEW 70 1 PP 1-25 2002"
"104","PLAUE C COOK LR DATA JOURNALISM LESSONS LEARNED WHILE DESIGNING AN INTERDISCIPLINARY SERVICE COURSE PROCEEDINGS OF THE 46TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION SIGCSE 15 PP 126-131 2015","PLAUE C COOK L DATA JOURNALISM LESSONS LEARNED WHILE DESIGNING AN INTERDISCIPLINARY SERVICE COURSE PROCEEDINGS OF THE 46TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION PP 126-131 2015"
"105","PLAUE C COOK LR DATA JOURNALISM LESSONS LEARNED WHILE DESIGNING AN INTERDISCIPLINARY SERVICE COURSE PROCEEDINGS OF THE 46TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION SIGCSE 15 PP 126-131 2015","PLAUE C COOK L DATA JOURNALISM LESSONS LEARNED WHILE DESIGNING AN INTERDISCIPLINARY SERVICE COURSE SIGCSE PP 126-131 2015"
"107","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS S IRIZARRY R A GUIDE TO TEACHING DATA SCIENCE 2016"
"108","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS S IRIZARRY R A GUIDE TO TEACHING DATA SCIENCE AMERICAN STATISTICIAN 2017"
"109","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS S C IRIZARRY R A A GUIDE TO TEACHING DATA SCIENCE AMER STATIST 72 PP 382-391 2018"
"110","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE 2017"
"111","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE AM STATISTICIAN 72 PP 382-391 2018"
"112","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE THE AMERICAN STATISTICIAN 72 4 PP 382-391 2018","HICKS SC IRIZARRY RA A GUIDE TO TEACHING DATA SCIENCE AM STAT 72 4 PP 382-391 2018"
